*** SPRNt Results. Netlist: "m9.spt" Epoch: "1970-01-01T00:00:00Z" Reqested Tstop: 1 hr 40 min
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
6  13.00 1.081006e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  14.00 1.700000e+00 9.320617e+01 1.770671e+01 7.177067e+02
2  14.00 1.530800e+00 1.178705e+02 1.438639e+01 7.177064e+02
3  14.00 1.361748e+00 5.364100e+01 1.106603e+01 7.177060e+02
4  14.00 1.245888e+00 3.774130e+01 7.745434e+00 7.177055e+02
5  14.00 1.135321e+00 1.420861e+01 4.423766e+00 7.177038e+02
6  14.00 1.093499e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  15.00 1.750000e+00 9.322119e+01 1.770923e+01 7.177092e+02
2  15.00 1.570663e+00 1.179093e+02 1.438891e+01 7.177089e+02
3  15.00 1.391462e+00 5.365598e+01 1.106855e+01 7.177086e+02
4  15.00 1.268556e+00 3.776319e+01 7.747936e+00 7.177080e+02
5  15.00 1.151144e+00 1.422195e+01 4.426224e+00 7.177063e+02
6  15.00 1.106690e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  16.00 1.800000e+00 9.323706e+01 1.771189e+01 7.177119e+02
2  16.00 1.610647e+00 1.179502e+02 1.439157e+01 7.177116e+02
3  16.00 1.421431e+00 5.367180e+01 1.107120e+01 7.177112e+02
4  16.00 1.291619e+00 3.778631e+01 7.750579e+00 7.177106e+02
5  16.00 1.167536e+00 1.423605e+01 4.428822e+00 7.177089e+02
6  16.00 1.120528e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  17.00 1.850000e+00 9.325374e+01 1.771469e+01 7.177147e+02
2  17.00 1.650769e+00 1.179933e+02 1.439437e+01 7.177144e+02
3  17.00 1.451682e+00 5.368845e+01 1.107400e+01 7.177140e+02
4  17.00 1.315087e+00 3.781065e+01 7.753359e+00 7.177134e+02
5  17.00 1.184472e+00 1.425090e+01 4.431557e+00 7.177116e+02
